StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q17,Q11,Q12,Q12_3_TEXT,Q13,Q14,Q14_7_TEXT,Q20_1,Q20_2,Q21_2,Q6,Q7,Q8,Q8_1_TEXT,Q9,Q9_1_TEXT,Q10,Q_URL,Q_TotalDuration
20/9/17 1:29,20/9/17 1:31,100,125,TRUE,20/9/17 1:31,anonymous,EN,be22,China,Female,,23,Postgraduate degree,,5,7,7,calculate the highest ratio among the items and select them in order,the same logic applies,No,,No,,,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,125
20/9/17 20:42,20/9/17 20:46,100,280,TRUE,20/9/17 20:46,anonymous,EN,be23,China,Female,,23,Undergraduate degree,,7,8,2,I find the items with big value and small weight and add them up see if that work,I find the items with big value and small weight and add them up see if that work,No,,No,,,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,280
21/9/17 0:36,21/9/17 0:41,100,259,TRUE,21/9/17 0:41,anonymous,EN,be24,Malaysia,Female,,19,Some college or university; no degree,,8,8,2,adding the money first before adding the weight,choosing the higher values first before looking at the weight or choosing the low weights with high values first before adding them up,No,,No,,"no, everything was done well",https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,259
21/9/17 1:02,21/9/17 1:07,100,317,TRUE,21/9/17 1:07,anonymous,EN,be25,India,Female,,25,Postgraduate degree,,9,5,2,I calculated the minimum weight that fell within the constraint and then checked whether the dollar amount would sum up greater than the given constraint.,looked for the minimum weights with high dollar amount and added them to satisfy the constraint.,No,,No,,,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,317
21/9/17 19:45,21/9/17 19:58,100,764,TRUE,21/9/17 19:58,anonymous,EN,be26,China,Female,,23,Undergraduate degree,,7.5,8,3,"Observe the ratio of the choices and the target and judge if it is possible first. Then, try to find the biggest ratio between price and weigh and do some rough calculations and make a decision.","Find the value sequences from large and observe the weighs, choose the lighter and more valuable bags first. If the total weigh is far less than the target, try to find the heavier but more valuable one.",No,,No,,,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,764
22/9/17 0:25,22/9/17 0:33,100,504,TRUE,22/9/17 0:33,anonymous,EN,be27,Malaysia,Male,,20,Some college or university; no degree,,8,6.5,5,Be as quick as possible. ,Take my time and calculate precisely. ,No,,No,,Pretty fun. ,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,504
22/9/17 1:00,22/9/17 1:10,100,598,TRUE,22/9/17 1:10,anonymous,EN,be28,China,Female,,21,Postgraduate degree,,7,6.5,2,"If the money is a big number, i will calculate the largest ones first. But if it is small, I will pay more attention to their the weights.",Try to find those have highest ratio(money/weight).,No,,No,,No,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,598
25/9/17 0:37,25/9/17 0:42,100,295,TRUE,25/9/17 0:42,anonymous,EN,be29,China,Female,,31,Some college or university; no degree,,10,9,0,"Be calm, concentrate and press the right button ie Yes or No",Check the highest $ values and the lowest kg weights,No,,No,,"If the study gets boring, you should speed it up so that it gets more interesting at a faster speed!",https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,295
25/9/17 20:09,25/9/17 20:13,100,203,TRUE,25/9/17 20:13,anonymous,EN,be30,Malaysia,Male,,20,High school graduate,,7.5,7.5,3,"Identify the choice with highest money over weight first, then start with those choices",Same as the first one,No,,No,,,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,203
25/9/17 20:41,25/9/17 20:55,100,866,TRUE,25/9/17 20:55,anonymous,EN,be31,China,Female,,21,Undergraduate degree,,7.5,7.5,3,"I make an estimate for the approximate total weight first and then check if the total dollar value is greater than the target one, sometime do not have time so just guess ","Find the one with highest dollar value first, and match it against the lowest weight, check if it fits the target then make choice, switch around to make to the maximum dollar by calculate the extra weight available( lock in one I definately choose, calculate the left over one)",No,,No,,,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,866
26/9/17 0:30,26/9/17 0:33,100,173,TRUE,26/9/17 0:33,anonymous,EN,be32,Malaysia,Male,,21,Some college or university; no degree,,9,8,3,Look at the karge amounts and then the their weights,Look at the ratio of each knapsack,No,,No,,,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,173
26/9/17 3:42,26/9/17 3:49,100,383,TRUE,26/9/17 3:49,anonymous,EN,be33,India,Male,,28,Undergraduate degree,,7,6,2,In most cases I tried to find if the numbers added up to the required amount or more and then analyzed if their weights were lesser than required. But this changed depending on whether the value of the weight was higher or the value of the money.,"Just used addition and if there was time left, crosschecked to see if there were any other possibilities",No,,No,,It was interesting to observe that I used rounding off techniques to try and gather numerical values when I did not have sufficient time like in the first task but used more calculated values for the second when there was no pressure of time as much as in the first task,https://fbeunimelb.au1.qualtrics.com/jfe/form/SV_5At1a65MWZjFcvr,383
